,feature,importance,fold
481,PREV_NAME_GOODS_CATEGORY_Insurance_MEAN,0,1
482,PREV_NAME_GOODS_CATEGORY_Jewelry_MEAN,6,1
483,PREV_NAME_GOODS_CATEGORY_MedicalSupplies_MEAN,0,1
484,PREV_NAME_GOODS_CATEGORY_Medicine_MEAN,0,1
485,PREV_NAME_GOODS_CATEGORY_Mobile_MEAN,37,1
486,PREV_NAME_GOODS_CATEGORY_OfficeAppliances_MEAN,0,1
487,PREV_NAME_GOODS_CATEGORY_Other_MEAN,0,1
488,PREV_NAME_GOODS_CATEGORY_PhotoCinemaEquipment_MEAN,18,1
489,PREV_NAME_GOODS_CATEGORY_SportandLeisure_MEAN,30,1
490,PREV_NAME_GOODS_CATEGORY_Tourism_MEAN,0,1
491,PREV_NAME_GOODS_CATEGORY_Vehicles_MEAN,0,1
492,PREV_NAME_GOODS_CATEGORY_Weapon_MEAN,0,1
493,PREV_NAME_GOODS_CATEGORY_XNA_MEAN,17,1
494,PREV_NAME_GOODS_CATEGORY_nan_MEAN,0,1
495,PREV_NAME_PORTFOLIO_Cards_MEAN,19,1
496,PREV_NAME_PORTFOLIO_Cars_MEAN,0,1
497,PREV_NAME_PORTFOLIO_Cash_MEAN,22,1
498,PREV_NAME_PORTFOLIO_POS_MEAN,35,1
499,PREV_NAME_PORTFOLIO_XNA_MEAN,39,1
500,PREV_NAME_PORTFOLIO_nan_MEAN,0,1
501,PREV_NAME_PRODUCT_TYPE_XNA_MEAN,59,1
502,PREV_NAME_PRODUCT_TYPE_walkin_MEAN,55,1
503,PREV_NAME_PRODUCT_TYPE_xsell_MEAN,46,1
504,PREV_NAME_PRODUCT_TYPE_nan_MEAN,0,1
505,PREV_CHANNEL_TYPE_APCashloan_MEAN,32,1
506,PREV_CHANNEL_TYPE_Cardealer_MEAN,0,1
507,PREV_CHANNEL_TYPE_Channelofcorporatesales_MEAN,32,1
508,PREV_CHANNEL_TYPE_Contactcenter_MEAN,34,1
509,PREV_CHANNEL_TYPE_Countrywide_MEAN,48,1
510,PREV_CHANNEL_TYPE_Creditandcashoffices_MEAN,73,1
511,PREV_CHANNEL_TYPE_RegionalLocal_MEAN,22,1
512,PREV_CHANNEL_TYPE_Stone_MEAN,37,1
513,PREV_CHANNEL_TYPE_nan_MEAN,0,1
514,PREV_NAME_SELLER_INDUSTRY_Autotechnology_MEAN,0,1
515,PREV_NAME_SELLER_INDUSTRY_Clothing_MEAN,14,1
516,PREV_NAME_SELLER_INDUSTRY_Connectivity_MEAN,64,1
517,PREV_NAME_SELLER_INDUSTRY_Construction_MEAN,8,1
518,PREV_NAME_SELLER_INDUSTRY_Consumerelectronics_MEAN,42,1
519,PREV_NAME_SELLER_INDUSTRY_Furniture_MEAN,3,1
520,PREV_NAME_SELLER_INDUSTRY_Industry_MEAN,2,1
521,PREV_NAME_SELLER_INDUSTRY_Jewelry_MEAN,0,1
522,PREV_NAME_SELLER_INDUSTRY_MLMpartners_MEAN,0,1
523,PREV_NAME_SELLER_INDUSTRY_Tourism_MEAN,0,1
524,PREV_NAME_SELLER_INDUSTRY_XNA_MEAN,27,1
525,PREV_NAME_SELLER_INDUSTRY_nan_MEAN,0,1
526,PREV_NAME_YIELD_GROUP_XNA_MEAN,44,1
527,PREV_NAME_YIELD_GROUP_high_MEAN,121,1
528,PREV_NAME_YIELD_GROUP_low_action_MEAN,113,1
529,PREV_NAME_YIELD_GROUP_low_normal_MEAN,92,1
530,PREV_NAME_YIELD_GROUP_middle_MEAN,54,1
531,PREV_NAME_YIELD_GROUP_nan_MEAN,0,1
532,PREV_PRODUCT_COMBINATION_CardStreet_MEAN,21,1
533,PREV_PRODUCT_COMBINATION_CardXSell_MEAN,17,1
534,PREV_PRODUCT_COMBINATION_Cash_MEAN,21,1
535,PREV_PRODUCT_COMBINATION_CashStreethigh_MEAN,27,1
536,PREV_PRODUCT_COMBINATION_CashStreetlow_MEAN,99,1
537,PREV_PRODUCT_COMBINATION_CashStreetmiddle_MEAN,11,1
538,PREV_PRODUCT_COMBINATION_CashXSellhigh_MEAN,69,1
539,PREV_PRODUCT_COMBINATION_CashXSelllow_MEAN,64,1
540,PREV_PRODUCT_COMBINATION_CashXSellmiddle_MEAN,18,1
541,PREV_PRODUCT_COMBINATION_POShouseholdwithinterest_MEAN,30,1
542,PREV_PRODUCT_COMBINATION_POShouseholdwithoutinterest_MEAN,14,1
543,PREV_PRODUCT_COMBINATION_POSindustrywithinterest_MEAN,38,1
544,PREV_PRODUCT_COMBINATION_POSindustrywithoutinterest_MEAN,7,1
545,PREV_PRODUCT_COMBINATION_POSmobilewithinterest_MEAN,41,1
546,PREV_PRODUCT_COMBINATION_POSmobilewithoutinterest_MEAN,0,1
547,PREV_PRODUCT_COMBINATION_POSotherwithinterest_MEAN,6,1
548,PREV_PRODUCT_COMBINATION_POSotherswithoutinterest_MEAN,0,1
549,PREV_PRODUCT_COMBINATION_nan_MEAN,0,1
550,APPROVED_AMT_ANNUITY_MIN,76,1
551,APPROVED_AMT_ANNUITY_MAX,75,1
552,APPROVED_AMT_ANNUITY_MEAN,161,1
553,APPROVED_AMT_APPLICATION_MIN,74,1
554,APPROVED_AMT_APPLICATION_MAX,42,1
555,APPROVED_AMT_APPLICATION_MEAN,64,1
556,APPROVED_AMT_CREDIT_MIN,78,1
557,APPROVED_AMT_CREDIT_MAX,106,1
558,APPROVED_AMT_CREDIT_MEAN,49,1
559,APPROVED_APP_CREDIT_PERC_MIN,92,1
560,APPROVED_APP_CREDIT_PERC_MAX,85,1
561,APPROVED_APP_CREDIT_PERC_MEAN,87,1
562,APPROVED_APP_CREDIT_PERC_VAR,91,1
563,APPROVED_AMT_DOWN_PAYMENT_MIN,21,1
564,APPROVED_AMT_DOWN_PAYMENT_MAX,123,1
565,APPROVED_AMT_DOWN_PAYMENT_MEAN,59,1
566,APPROVED_AMT_GOODS_PRICE_MIN,104,1
567,APPROVED_AMT_GOODS_PRICE_MAX,21,1
568,APPROVED_AMT_GOODS_PRICE_MEAN,32,1
569,APPROVED_HOUR_APPR_PROCESS_START_MIN,39,1
570,APPROVED_HOUR_APPR_PROCESS_START_MAX,74,1
571,APPROVED_HOUR_APPR_PROCESS_START_MEAN,100,1
572,APPROVED_RATE_DOWN_PAYMENT_MIN,31,1
573,APPROVED_RATE_DOWN_PAYMENT_MAX,47,1
574,APPROVED_RATE_DOWN_PAYMENT_MEAN,48,1
575,APPROVED_DAYS_DECISION_MIN,63,1
576,APPROVED_DAYS_DECISION_MAX,213,1
577,APPROVED_DAYS_DECISION_MEAN,96,1
578,APPROVED_CNT_PAYMENT_MEAN,372,1
579,APPROVED_CNT_PAYMENT_SUM,163,1
580,REFUSED_AMT_ANNUITY_MIN,59,1
581,REFUSED_AMT_ANNUITY_MAX,30,1
582,REFUSED_AMT_ANNUITY_MEAN,22,1
583,REFUSED_AMT_APPLICATION_MIN,27,1
584,REFUSED_AMT_APPLICATION_MAX,26,1
585,REFUSED_AMT_APPLICATION_MEAN,17,1
586,REFUSED_AMT_CREDIT_MIN,85,1
587,REFUSED_AMT_CREDIT_MAX,27,1
588,REFUSED_AMT_CREDIT_MEAN,36,1
589,REFUSED_APP_CREDIT_PERC_MIN,49,1
590,REFUSED_APP_CREDIT_PERC_MAX,26,1
591,REFUSED_APP_CREDIT_PERC_MEAN,41,1
592,REFUSED_APP_CREDIT_PERC_VAR,17,1
593,REFUSED_AMT_DOWN_PAYMENT_MIN,5,1
594,REFUSED_AMT_DOWN_PAYMENT_MAX,12,1
595,REFUSED_AMT_DOWN_PAYMENT_MEAN,7,1
596,REFUSED_AMT_GOODS_PRICE_MIN,30,1
597,REFUSED_AMT_GOODS_PRICE_MAX,26,1
598,REFUSED_AMT_GOODS_PRICE_MEAN,28,1
599,REFUSED_HOUR_APPR_PROCESS_START_MIN,41,1
600,REFUSED_HOUR_APPR_PROCESS_START_MAX,18,1
601,REFUSED_HOUR_APPR_PROCESS_START_MEAN,51,1
602,REFUSED_RATE_DOWN_PAYMENT_MIN,14,1
603,REFUSED_RATE_DOWN_PAYMENT_MAX,10,1
604,REFUSED_RATE_DOWN_PAYMENT_MEAN,13,1
605,REFUSED_DAYS_DECISION_MIN,71,1
606,REFUSED_DAYS_DECISION_MAX,108,1
607,REFUSED_DAYS_DECISION_MEAN,60,1
608,REFUSED_CNT_PAYMENT_MEAN,35,1
609,REFUSED_CNT_PAYMENT_SUM,26,1
610,POS_MONTHS_BALANCE_MAX,104,1
611,POS_MONTHS_BALANCE_MEAN,175,1
612,POS_MONTHS_BALANCE_SIZE,216,1
613,POS_SK_DPD_MAX,36,1
614,POS_SK_DPD_MEAN,37,1
615,POS_SK_DPD_DEF_MAX,43,1
616,POS_SK_DPD_DEF_MEAN,144,1
617,POS_NAME_CONTRACT_STATUS_Active_MEAN,106,1
618,POS_NAME_CONTRACT_STATUS_Amortizeddebt_MEAN,0,1
619,POS_NAME_CONTRACT_STATUS_Approved_MEAN,12,1
620,POS_NAME_CONTRACT_STATUS_Canceled_MEAN,0,1
621,POS_NAME_CONTRACT_STATUS_Completed_MEAN,117,1
622,POS_NAME_CONTRACT_STATUS_Demand_MEAN,0,1
623,POS_NAME_CONTRACT_STATUS_Returnedtothestore_MEAN,34,1
624,POS_NAME_CONTRACT_STATUS_Signed_MEAN,32,1
625,POS_NAME_CONTRACT_STATUS_XNA_MEAN,0,1
626,POS_NAME_CONTRACT_STATUS_nan_MEAN,0,1
627,POS_COUNT,13,1
628,INSTAL_NUM_INSTALMENT_VERSION_NUNIQUE,50,1
629,INSTAL_DPD_MAX,44,1
630,INSTAL_DPD_MEAN,332,1
631,INSTAL_DPD_SUM,74,1
632,INSTAL_DBD_MAX,152,1
633,INSTAL_DBD_MEAN,120,1
634,INSTAL_DBD_SUM,246,1
635,INSTAL_PAYMENT_PERC_MAX,8,1
636,INSTAL_PAYMENT_PERC_MEAN,139,1
637,INSTAL_PAYMENT_PERC_SUM,111,1
638,INSTAL_PAYMENT_PERC_VAR,72,1
639,INSTAL_PAYMENT_DIFF_MAX,158,1
640,INSTAL_PAYMENT_DIFF_MEAN,154,1
641,INSTAL_PAYMENT_DIFF_SUM,93,1
642,INSTAL_PAYMENT_DIFF_VAR,55,1
643,INSTAL_AMT_INSTALMENT_MAX,131,1
644,INSTAL_AMT_INSTALMENT_MEAN,68,1
645,INSTAL_AMT_INSTALMENT_SUM,98,1
646,INSTAL_AMT_PAYMENT_MIN,181,1
647,INSTAL_AMT_PAYMENT_MAX,109,1
648,INSTAL_AMT_PAYMENT_MEAN,140,1
649,INSTAL_AMT_PAYMENT_SUM,286,1
650,INSTAL_DAYS_ENTRY_PAYMENT_MAX,329,1
651,INSTAL_DAYS_ENTRY_PAYMENT_MEAN,160,1
652,INSTAL_DAYS_ENTRY_PAYMENT_SUM,179,1
653,INSTAL_COUNT,55,1
654,CC_MONTHS_BALANCE_MIN,3,1
655,CC_MONTHS_BALANCE_MAX,1,1
656,CC_MONTHS_BALANCE_MEAN,5,1
657,CC_MONTHS_BALANCE_SUM,9,1
658,CC_MONTHS_BALANCE_VAR,10,1
659,CC_AMT_BALANCE_MIN,28,1
660,CC_AMT_BALANCE_MAX,24,1
661,CC_AMT_BALANCE_MEAN,31,1
662,CC_AMT_BALANCE_SUM,8,1
663,CC_AMT_BALANCE_VAR,31,1
664,CC_AMT_CREDIT_LIMIT_ACTUAL_MIN,24,1
665,CC_AMT_CREDIT_LIMIT_ACTUAL_MAX,10,1
666,CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN,68,1
667,CC_AMT_CREDIT_LIMIT_ACTUAL_SUM,34,1
668,CC_AMT_CREDIT_LIMIT_ACTUAL_VAR,20,1
669,CC_AMT_DRAWINGS_ATM_CURRENT_MIN,0,1
670,CC_AMT_DRAWINGS_ATM_CURRENT_MAX,25,1
671,CC_AMT_DRAWINGS_ATM_CURRENT_MEAN,59,1
672,CC_AMT_DRAWINGS_ATM_CURRENT_SUM,31,1
673,CC_AMT_DRAWINGS_ATM_CURRENT_VAR,29,1
674,CC_AMT_DRAWINGS_CURRENT_MIN,3,1
675,CC_AMT_DRAWINGS_CURRENT_MAX,22,1
676,CC_AMT_DRAWINGS_CURRENT_MEAN,37,1
677,CC_AMT_DRAWINGS_CURRENT_SUM,7,1
678,CC_AMT_DRAWINGS_CURRENT_VAR,15,1
679,CC_AMT_DRAWINGS_OTHER_CURRENT_MIN,0,1
680,CC_AMT_DRAWINGS_OTHER_CURRENT_MAX,1,1
681,CC_AMT_DRAWINGS_OTHER_CURRENT_MEAN,0,1
682,CC_AMT_DRAWINGS_OTHER_CURRENT_SUM,5,1
683,CC_AMT_DRAWINGS_OTHER_CURRENT_VAR,2,1
684,CC_AMT_DRAWINGS_POS_CURRENT_MIN,4,1
685,CC_AMT_DRAWINGS_POS_CURRENT_MAX,16,1
686,CC_AMT_DRAWINGS_POS_CURRENT_MEAN,8,1
687,CC_AMT_DRAWINGS_POS_CURRENT_SUM,38,1
688,CC_AMT_DRAWINGS_POS_CURRENT_VAR,9,1
689,CC_AMT_INST_MIN_REGULARITY_MIN,1,1
690,CC_AMT_INST_MIN_REGULARITY_MAX,8,1
691,CC_AMT_INST_MIN_REGULARITY_MEAN,11,1
692,CC_AMT_INST_MIN_REGULARITY_SUM,27,1
693,CC_AMT_INST_MIN_REGULARITY_VAR,57,1
694,CC_AMT_PAYMENT_CURRENT_MIN,32,1
695,CC_AMT_PAYMENT_CURRENT_MAX,42,1
696,CC_AMT_PAYMENT_CURRENT_MEAN,64,1
697,CC_AMT_PAYMENT_CURRENT_SUM,50,1
698,CC_AMT_PAYMENT_CURRENT_VAR,42,1
699,CC_AMT_PAYMENT_TOTAL_CURRENT_MIN,1,1
700,CC_AMT_PAYMENT_TOTAL_CURRENT_MAX,22,1
701,CC_AMT_PAYMENT_TOTAL_CURRENT_MEAN,37,1
702,CC_AMT_PAYMENT_TOTAL_CURRENT_SUM,26,1
703,CC_AMT_PAYMENT_TOTAL_CURRENT_VAR,17,1
704,CC_AMT_RECEIVABLE_PRINCIPAL_MIN,16,1
705,CC_AMT_RECEIVABLE_PRINCIPAL_MAX,14,1
706,CC_AMT_RECEIVABLE_PRINCIPAL_MEAN,27,1
707,CC_AMT_RECEIVABLE_PRINCIPAL_SUM,12,1
708,CC_AMT_RECEIVABLE_PRINCIPAL_VAR,8,1
709,CC_AMT_RECIVABLE_MIN,20,1
710,CC_AMT_RECIVABLE_MAX,19,1
711,CC_AMT_RECIVABLE_MEAN,33,1
712,CC_AMT_RECIVABLE_SUM,9,1
713,CC_AMT_RECIVABLE_VAR,24,1
714,CC_AMT_TOTAL_RECEIVABLE_MIN,2,1
715,CC_AMT_TOTAL_RECEIVABLE_MAX,7,1
716,CC_AMT_TOTAL_RECEIVABLE_MEAN,4,1
717,CC_AMT_TOTAL_RECEIVABLE_SUM,2,1
718,CC_AMT_TOTAL_RECEIVABLE_VAR,5,1
719,CC_CNT_DRAWINGS_ATM_CURRENT_MIN,0,1
720,CC_CNT_DRAWINGS_ATM_CURRENT_MAX,14,1
721,CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,167,1
722,CC_CNT_DRAWINGS_ATM_CURRENT_SUM,14,1
723,CC_CNT_DRAWINGS_ATM_CURRENT_VAR,106,1
724,CC_CNT_DRAWINGS_CURRENT_MIN,0,1
725,CC_CNT_DRAWINGS_CURRENT_MAX,74,1
726,CC_CNT_DRAWINGS_CURRENT_MEAN,77,1
727,CC_CNT_DRAWINGS_CURRENT_SUM,13,1
728,CC_CNT_DRAWINGS_CURRENT_VAR,99,1
729,CC_CNT_DRAWINGS_OTHER_CURRENT_MIN,0,1
730,CC_CNT_DRAWINGS_OTHER_CURRENT_MAX,0,1
731,CC_CNT_DRAWINGS_OTHER_CURRENT_MEAN,3,1
732,CC_CNT_DRAWINGS_OTHER_CURRENT_SUM,0,1
733,CC_CNT_DRAWINGS_OTHER_CURRENT_VAR,0,1
734,CC_CNT_DRAWINGS_POS_CURRENT_MIN,2,1
735,CC_CNT_DRAWINGS_POS_CURRENT_MAX,8,1
736,CC_CNT_DRAWINGS_POS_CURRENT_MEAN,39,1
737,CC_CNT_DRAWINGS_POS_CURRENT_SUM,6,1
738,CC_CNT_DRAWINGS_POS_CURRENT_VAR,21,1
739,CC_CNT_INSTALMENT_MATURE_CUM_MIN,0,1
740,CC_CNT_INSTALMENT_MATURE_CUM_MAX,1,1
741,CC_CNT_INSTALMENT_MATURE_CUM_MEAN,7,1
742,CC_CNT_INSTALMENT_MATURE_CUM_SUM,17,1
743,CC_CNT_INSTALMENT_MATURE_CUM_VAR,10,1
744,CC_SK_DPD_MIN,0,1
745,CC_SK_DPD_MAX,1,1
746,CC_SK_DPD_MEAN,13,1
747,CC_SK_DPD_SUM,8,1
748,CC_SK_DPD_VAR,3,1
749,CC_SK_DPD_DEF_MIN,0,1
750,CC_SK_DPD_DEF_MAX,0,1
751,CC_SK_DPD_DEF_MEAN,34,1
752,CC_SK_DPD_DEF_SUM,0,1
753,CC_SK_DPD_DEF_VAR,2,1
754,CC_NAME_CONTRACT_STATUS_Active_MIN,3,1
755,CC_NAME_CONTRACT_STATUS_Active_MAX,0,1
756,CC_NAME_CONTRACT_STATUS_Active_MEAN,8,1
757,CC_NAME_CONTRACT_STATUS_Active_SUM,13,1
758,CC_NAME_CONTRACT_STATUS_Active_VAR,10,1
759,CC_NAME_CONTRACT_STATUS_Approved_MIN,0,1
760,CC_NAME_CONTRACT_STATUS_Approved_MAX,0,1
761,CC_NAME_CONTRACT_STATUS_Approved_MEAN,0,1
762,CC_NAME_CONTRACT_STATUS_Approved_SUM,0,1
763,CC_NAME_CONTRACT_STATUS_Approved_VAR,0,1
764,CC_NAME_CONTRACT_STATUS_Completed_MIN,0,1
765,CC_NAME_CONTRACT_STATUS_Completed_MAX,0,1
766,CC_NAME_CONTRACT_STATUS_Completed_MEAN,1,1
767,CC_NAME_CONTRACT_STATUS_Completed_SUM,0,1
768,CC_NAME_CONTRACT_STATUS_Completed_VAR,0,1
769,CC_NAME_CONTRACT_STATUS_Demand_MIN,0,1
770,CC_NAME_CONTRACT_STATUS_Demand_MAX,0,1
771,CC_NAME_CONTRACT_STATUS_Demand_MEAN,0,1
772,CC_NAME_CONTRACT_STATUS_Demand_SUM,0,1
773,CC_NAME_CONTRACT_STATUS_Demand_VAR,0,1
774,CC_NAME_CONTRACT_STATUS_Refused_MIN,0,1
775,CC_NAME_CONTRACT_STATUS_Refused_MAX,0,1
776,CC_NAME_CONTRACT_STATUS_Refused_MEAN,0,1
777,CC_NAME_CONTRACT_STATUS_Refused_SUM,0,1
778,CC_NAME_CONTRACT_STATUS_Refused_VAR,0,1
779,CC_NAME_CONTRACT_STATUS_Sentproposal_MIN,0,1
780,CC_NAME_CONTRACT_STATUS_Sentproposal_MAX,0,1
781,CC_NAME_CONTRACT_STATUS_Sentproposal_MEAN,0,1
782,CC_NAME_CONTRACT_STATUS_Sentproposal_SUM,0,1
783,CC_NAME_CONTRACT_STATUS_Sentproposal_VAR,0,1
784,CC_NAME_CONTRACT_STATUS_Signed_MIN,0,1
785,CC_NAME_CONTRACT_STATUS_Signed_MAX,0,1
786,CC_NAME_CONTRACT_STATUS_Signed_MEAN,0,1
787,CC_NAME_CONTRACT_STATUS_Signed_SUM,0,1
788,CC_NAME_CONTRACT_STATUS_Signed_VAR,2,1
789,CC_NAME_CONTRACT_STATUS_nan_MIN,0,1
790,CC_NAME_CONTRACT_STATUS_nan_MAX,0,1
791,CC_NAME_CONTRACT_STATUS_nan_MEAN,0,1
792,CC_NAME_CONTRACT_STATUS_nan_SUM,0,1
793,CC_NAME_CONTRACT_STATUS_nan_VAR,0,1
794,CC_COUNT,1,1
0,CODE_GENDER,191,2
1,FLAG_OWN_CAR,3,2
2,FLAG_OWN_REALTY,28,2
3,CNT_CHILDREN,12,2
4,AMT_INCOME_TOTAL,184,2
5,AMT_CREDIT,367,2
6,AMT_ANNUITY,536,2
7,AMT_GOODS_PRICE,384,2
8,REGION_POPULATION_RELATIVE,324,2
9,DAYS_BIRTH,705,2
10,DAYS_EMPLOYED,520,2
11,DAYS_REGISTRATION,382,2
12,DAYS_ID_PUBLISH,430,2
13,OWN_CAR_AGE,291,2
14,FLAG_MOBIL,0,2
15,FLAG_EMP_PHONE,0,2
16,FLAG_WORK_PHONE,78,2
17,FLAG_CONT_MOBILE,0,2
18,FLAG_PHONE,21,2
19,FLAG_EMAIL,0,2
20,CNT_FAM_MEMBERS,14,2
21,REGION_RATING_CLIENT,15,2
22,REGION_RATING_CLIENT_W_CITY,100,2
23,HOUR_APPR_PROCESS_START,109,2
24,REG_REGION_NOT_LIVE_REGION,5,2
25,REG_REGION_NOT_WORK_REGION,6,2
26,LIVE_REGION_NOT_WORK_REGION,1,2
27,REG_CITY_NOT_LIVE_CITY,59,2
28,REG_CITY_NOT_WORK_CITY,13,2
29,LIVE_CITY_NOT_WORK_CITY,21,2
30,EXT_SOURCE_1,957,2
31,EXT_SOURCE_2,877,2
32,EXT_SOURCE_3,960,2
33,APARTMENTS_AVG,44,2
34,BASEMENTAREA_AVG,49,2
35,YEARS_BEGINEXPLUATATION_AVG,47,2
36,YEARS_BUILD_AVG,35,2
37,COMMONAREA_AVG,36,2
38,ELEVATORS_AVG,43,2
39,ENTRANCES_AVG,35,2
40,FLOORSMAX_AVG,27,2
41,FLOORSMIN_AVG,29,2
42,LANDAREA_AVG,54,2
43,LIVINGAPARTMENTS_AVG,23,2
44,LIVINGAREA_AVG,49,2
45,NONLIVINGAPARTMENTS_AVG,28,2
46,NONLIVINGAREA_AVG,51,2
47,APARTMENTS_MODE,75,2
48,BASEMENTAREA_MODE,57,2
49,YEARS_BEGINEXPLUATATION_MODE,69,2
50,YEARS_BUILD_MODE,24,2
51,COMMONAREA_MODE,38,2
52,ELEVATORS_MODE,9,2
53,ENTRANCES_MODE,15,2
54,FLOORSMAX_MODE,9,2
55,FLOORSMIN_MODE,31,2
56,LANDAREA_MODE,72,2
57,LIVINGAPARTMENTS_MODE,42,2
58,LIVINGAREA_MODE,63,2
59,NONLIVINGAPARTMENTS_MODE,9,2
60,NONLIVINGAREA_MODE,38,2
61,APARTMENTS_MEDI,31,2
62,BASEMENTAREA_MEDI,39,2
63,YEARS_BEGINEXPLUATATION_MEDI,64,2
64,YEARS_BUILD_MEDI,23,2
65,COMMONAREA_MEDI,42,2
66,ELEVATORS_MEDI,5,2
67,ENTRANCES_MEDI,18,2
68,FLOORSMAX_MEDI,4,2
69,FLOORSMIN_MEDI,8,2
70,LANDAREA_MEDI,42,2
71,LIVINGAPARTMENTS_MEDI,33,2
72,LIVINGAREA_MEDI,48,2
73,NONLIVINGAPARTMENTS_MEDI,8,2
74,NONLIVINGAREA_MEDI,20,2
75,TOTALAREA_MODE,108,2
76,OBS_30_CNT_SOCIAL_CIRCLE,61,2
77,DEF_30_CNT_SOCIAL_CIRCLE,79,2
78,OBS_60_CNT_SOCIAL_CIRCLE,60,2
79,DEF_60_CNT_SOCIAL_CIRCLE,72,2
80,DAYS_LAST_PHONE_CHANGE,344,2
81,FLAG_DOCUMENT_2,0,2
82,FLAG_DOCUMENT_3,59,2
83,FLAG_DOCUMENT_4,0,2
84,FLAG_DOCUMENT_5,1,2
85,FLAG_DOCUMENT_6,6,2
86,FLAG_DOCUMENT_7,0,2
87,FLAG_DOCUMENT_8,24,2
88,FLAG_DOCUMENT_9,0,2
89,FLAG_DOCUMENT_10,0,2
90,FLAG_DOCUMENT_11,0,2
91,FLAG_DOCUMENT_12,0,2
92,FLAG_DOCUMENT_13,0,2
93,FLAG_DOCUMENT_14,0,2
94,FLAG_DOCUMENT_15,0,2
95,FLAG_DOCUMENT_16,16,2
96,FLAG_DOCUMENT_17,0,2
97,FLAG_DOCUMENT_18,47,2
98,FLAG_DOCUMENT_19,0,2
99,FLAG_DOCUMENT_20,0,2
100,FLAG_DOCUMENT_21,0,2
101,AMT_REQ_CREDIT_BUREAU_HOUR,0,2
102,AMT_REQ_CREDIT_BUREAU_DAY,12,2
103,AMT_REQ_CREDIT_BUREAU_WEEK,5,2
104,AMT_REQ_CREDIT_BUREAU_MON,18,2
105,AMT_REQ_CREDIT_BUREAU_QRT,62,2
106,AMT_REQ_CREDIT_BUREAU_YEAR,41,2
107,NAME_CONTRACT_TYPE_Cashloans,71,2
108,NAME_CONTRACT_TYPE_Revolvingloans,4,2
109,NAME_TYPE_SUITE_Children,0,2
110,NAME_TYPE_SUITE_Family,8,2
111,NAME_TYPE_SUITE_Groupofpeople,0,2
112,NAME_TYPE_SUITE_Other_A,0,2
113,NAME_TYPE_SUITE_Other_B,0,2
114,NAME_TYPE_SUITE_Spousepartner,8,2
115,NAME_TYPE_SUITE_Unaccompanied,14,2
116,NAME_INCOME_TYPE_Businessman,0,2
117,NAME_INCOME_TYPE_Commercialassociate,16,2
118,NAME_INCOME_TYPE_Maternityleave,0,2
119,NAME_INCOME_TYPE_Pensioner,0,2
120,NAME_INCOME_TYPE_Stateservant,31,2
121,NAME_INCOME_TYPE_Student,0,2
122,NAME_INCOME_TYPE_Unemployed,0,2
123,NAME_INCOME_TYPE_Working,24,2
124,NAME_EDUCATION_TYPE_Academicdegree,0,2
125,NAME_EDUCATION_TYPE_Highereducation,85,2
126,NAME_EDUCATION_TYPE_Incompletehigher,11,2
127,NAME_EDUCATION_TYPE_Lowersecondary,3,2
128,NAME_EDUCATION_TYPE_Secondarysecondaryspecial,39,2
129,NAME_FAMILY_STATUS_Civilmarriage,14,2
130,NAME_FAMILY_STATUS_Married,138,2
131,NAME_FAMILY_STATUS_Separated,1,2
132,NAME_FAMILY_STATUS_Singlenotmarried,3,2
133,NAME_FAMILY_STATUS_Unknown,0,2
134,NAME_FAMILY_STATUS_Widow,4,2
135,NAME_HOUSING_TYPE_Coopapartment,0,2
136,NAME_HOUSING_TYPE_Houseapartment,22,2
137,NAME_HOUSING_TYPE_Municipalapartment,24,2
138,NAME_HOUSING_TYPE_Officeapartment,24,2
139,NAME_HOUSING_TYPE_Rentedapartment,1,2
140,NAME_HOUSING_TYPE_Withparents,1,2
141,OCCUPATION_TYPE_Accountants,13,2
142,OCCUPATION_TYPE_Cleaningstaff,2,2
143,OCCUPATION_TYPE_Cookingstaff,0,2
144,OCCUPATION_TYPE_Corestaff,55,2
145,OCCUPATION_TYPE_Drivers,35,2
146,OCCUPATION_TYPE_HRstaff,0,2
147,OCCUPATION_TYPE_Highskilltechstaff,25,2
148,OCCUPATION_TYPE_ITstaff,0,2
149,OCCUPATION_TYPE_Laborers,11,2
150,OCCUPATION_TYPE_LowskillLaborers,12,2
151,OCCUPATION_TYPE_Managers,0,2
152,OCCUPATION_TYPE_Medicinestaff,24,2
153,OCCUPATION_TYPE_Privateservicestaff,0,2
154,OCCUPATION_TYPE_Realtyagents,0,2
155,OCCUPATION_TYPE_Salesstaff,7,2
156,OCCUPATION_TYPE_Secretaries,0,2
157,OCCUPATION_TYPE_Securitystaff,0,2
158,OCCUPATION_TYPE_Waitersbarmenstaff,0,2
159,WEEKDAY_APPR_PROCESS_START_FRIDAY,26,2
160,WEEKDAY_APPR_PROCESS_START_MONDAY,23,2
161,WEEKDAY_APPR_PROCESS_START_SATURDAY,17,2
162,WEEKDAY_APPR_PROCESS_START_SUNDAY,11,2
163,WEEKDAY_APPR_PROCESS_START_THURSDAY,2,2
164,WEEKDAY_APPR_PROCESS_START_TUESDAY,6,2
165,WEEKDAY_APPR_PROCESS_START_WEDNESDAY,16,2
166,ORGANIZATION_TYPE_Advertising,0,2
167,ORGANIZATION_TYPE_Agriculture,0,2
168,ORGANIZATION_TYPE_Bank,17,2
169,ORGANIZATION_TYPE_BusinessEntityType1,2,2
